id|matchNo|teamNo|autoCrossLineTry|autoCrossLineSuccess|autoBoxToSwitchTry|autoBoxToSwitchCount|autoBoxToWrongSwitchTry|autoBoxToWrongSwitchCount|autoBoxToScaleTry|autoBoxToScaleCount|autoBoxToWrongScaleTry|autoBoxToWrongScaleCount|autoEndWithNewCube|teleBoxToSwitchCount|teleBoxToScaleCount|teleBoxToOpponentSwitchCount|teleBoxToExchangeCount|teleDroppedBoxCount|teleDefenseType|tippedBot|deadBot|recoveredTippedBot|recoveredDeadBot|penaltyStandardFoul|penaltyTechnicalFoul|penaltyYellowCard|penaltyRedCard|endParked|endClimbedType|endClimbedRampSingle|endClimbedRampDouble|endClimbedExtendBar|endCubeAttainment|endScoringAbility|postComments
59|"15"|"4959"|0|0|0|1|0|0|0|0|0|0|0|0|1|2|2|1|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on high sc"|"veryagressive an fasts"
60|"17"|"5082"|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"Did Not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|""
61|"17"|"6424"|0|1|0|0|0|0|0|0|0|0|0|0|3|0|0|1|"Did Not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on medium "|""
62|"17"|"4455"|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|"Did Not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on switch"|""
63|"17"|"935"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|3|1|"Did Not"|0|0|0|0|1|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on exchang"|""
64|"17"|"1984"|0|1|0|1|0|0|0|0|0|0|0|0|0|0|5|1|"Did Not"|0|0|0|0|0|0|0|0|0|"Center"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
65|"18"|"6317"|0|1|0|1|0|0|0|0|0|0|0|1|1|3|0|1|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
66|"18"|"1777"|1|1|0|0|0|0|0|0|0|0|0|1|0|0|2|0|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|""
67|"18"|"1982"|0|1|0|0|0|0|0|0|0|0|0|0|5|0|0|1|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
68|"18"|"6886"|0|0|0|0|0|0|1|1|0|0|0|0|1|1|0|0|"30 secs to 1 minute"|0|0|0|0|0|0|0|0|1|"Failed"|1|1|0|"Picked up cubes from"|"Can score on medium "|""
69|"18"|"1806"|1|1|0|0|0|0|0|0|0|0|0|1|3|0|0|0|"Did Not"|0|0|0|0|0|0|0|0|0|"Attempt"|0|0|1|"Picked up cubes from"|"Can score on high sc"|"strong offense, bad defense"
70|"18"|"1710"|0|1|0|0|0|0|0|1|0|0|1|1|2|0|10|0|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on medium "|"5 second rotation from pyramid to vault"
